STATE/UT,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2001,CASES REGISTERED UNDER CUSTODIAL DEATHS-2001,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2001,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2001,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2002,CASES REGISTERED UNDER CUSTODIAL DEATHS-2002,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2002,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2002,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2003,CASES REGISTERED UNDER CUSTODIAL DEATHS-2003,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2003,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2003,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2004,CASES REGISTERED UNDER CUSTODIAL DEATHS-2004,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2004,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2004,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2005,CASES REGISTERED UNDER CUSTODIAL DEATHS-2005,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2005,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2005,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2006,CASES REGISTERED UNDER CUSTODIAL DEATHS-2006,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2006,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2006,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2007,CASES REGISTERED UNDER CUSTODIAL DEATHS-2007,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2007,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2007,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2008,CASES REGISTERED UNDER CUSTODIAL DEATHS-2008,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2008,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2008,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2009,CASES REGISTERED UNDER CUSTODIAL DEATHS-2009,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2009,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2009,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2010,CASES REGISTERED UNDER CUSTODIAL DEATHS-2010,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2010,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2010,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2011,CASES REGISTERED UNDER CUSTODIAL DEATHS-2011,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2011,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2011,CUSTODIAL DEATHS UNDER CUSTODIAL DEATHS-2012,CASES REGISTERED UNDER CUSTODIAL DEATHS-2012,POLICEMEN CHARGESHEETED UNDER CUSTODIAL DEATHS-2012,POLICEMEN CONVICTED UNDER CUSTODIAL DEATHS-2012
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,6,1,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
ODISHA,1,1,3,1,0,0,0,0,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,1,1,0,0,1,1,0,0,3,3,0,0
PUNJAB,4,2,0,0,1,0,0,0,3,2,2,0,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,2,0,0,0,5,2,3,0,3,2,4,0
RAJASTHAN,3,1,0,0,7,5,14,0,6,1,0,0,0,0,0,0,5,1,1,0,4,3,0,0,2,1,0,0,4,0,0,0,3,2,0,0,1,1,0,0,2,2,4,0,1,1,0,0
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,5,5,0,0,6,0,0,0,4,3,0,0,7,7,0,0,3,3,0,0,6,6,0,0,2,2,0,0,1,1,0,0,5,1,0,0,2,2,0,0,6,6,0,0,7,7,0,0
TRIPURA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,1,1,0,0,9,7,1,0,7,7,1,0,4,4,2,0,8,8,1,3,6,6,2,7,11,9,19,0,5,5,16,0,6,6,4,4,9,8,19,3,9,9,6,0,12,12,0,0
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
WEST BENGAL,15,0,0,0,15,0,0,0,13,0,0,0,12,0,0,0,7,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,6,6,0,0,3,3,0,0,1,0,0,0,1,1,0,0
TOTAL (STATES),89,25,8,1,84,34,32,0,94,40,27,0,85,35,15,4,128,81,4,3,88,50,7,11,116,56,34,0,100,44,29,0,82,45,12,4,70,38,25,3,103,52,14,0,109,56,7,0
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),90,25,8,1,84,34,32,0,94,40,27,0,86,35,15,4,128,81,4,3,89,50,7,11,118,57,35,0,101,44,29,0,84,45,12,4,70,38,25,3,104,52,14,0,109,56,7,0
